순서,컬럼영문명,컬럼한글명,데이터타입,길이,PK여부,NOT NULL여부
1,RESPOND_ID,응답자ID,VARCHAR,50,Y,Y
2,EXAMIN_YM,조사년월,VARCHAR,6,Y,Y
3,SEXDSTN_FLAG_CD,성별구분코드,VARCHAR,30,N,Y
4,AGRDE_FLAG_NM,연령대구분명,VARCHAR,200,N,Y
5,ANSWRR_OC_AREA_NM,답변자거주지역명,VARCHAR,200,N,Y
6,HSHLD_INCOME_DGREE_NM,가구소득정도명,VARCHAR,200,N,Y
7,PRCHS_MTH_NM,구매방법명,VARCHAR,200,N,Y
8,BOOK_DISC_DVD_PRCHS_AT,서적음반DVD구매여부,VARCHAR,1,N,Y
9,PBLPRFR_DSPY_EXPRN_PRCHS_AT,공연전시체험구매여부,VARCHAR,1,N,Y
10,GAME_PRCHS_AT,게임구매여부,VARCHAR,1,N,Y
11,MUSIC_STRMNG_DWLD_VCH_PRCHS_AT,음악스트리밍다운로드이용권구매여부,VARCHAR,1,N,Y
12,MVP_STRMNG_DWLD_VCH_PRCHS_AT,동영상스트리밍다운로드이용권구매여부,VARCHAR,1,N,Y
13,CLTUR_DGTL_CNTNTS_ETC_PRCHS_AT,문화디지털콘텐츠기타구매여부,VARCHAR,1,N,Y
